0.008239 	 0.047402 	 0.006209
-0.034617 	 -0.026528 	 0.004959
-0.024318 	 0.025323 	 -0.004524
0.018517 	 0.060596 	 -0.027490
-0.003711 	 -0.074023 	 -0.058510
-0.052926 	 -0.083869 	 -0.004072
-0.030283 	 0.005303 	 -0.025918
0.006398 	 0.026715 	 0.023492
0.013435 	 -0.026607 	 -0.037735
0.040304 	 0.051604 	 -0.001383
0.018832 	 0.013257 	 -0.011821
0.025855 	 -0.010621 	 0.019923
0.040328 	 0.029372 	 -0.018627
0.023399 	 0.002768 	 -0.019911
0.002607 	 -0.006683 	 0.004041
0.035361 	 0.053830 	 0.004542
0.007220 	 0.002221 	 -0.039087
0.014936 	 0.025653 	 0.030442
0.039893 	 -0.033734 	 -0.059666
-0.007490 	 -0.027487 	 -0.035163
0.036572 	 0.025608 	 0.009516
0.004780 	 -0.039886 	 -0.047726
0.027809 	 -0.016212 	 0.007637
0.003774 	 -0.009276 	 -0.019656
0.000871 	 -0.067916 	 0.015805
-0.003833 	 0.031459 	 -0.005416
-0.006828 	 -0.004733 	 -0.036168
-0.040034 	 -0.065601 	 -0.011961
-0.007507 	 -0.005678 	 -0.005415
-0.062007 	 0.008066 	 0.028310
-0.009224 	 0.054060 	 -0.006743
-0.032860 	 0.014467 	 -0.026580
-0.002799 	 0.005817 	 -0.025809
0.056289 	 -0.003960 	 0.006799
-0.000346 	 -0.016096 	 0.013716
-0.063357 	 0.001243 	 0.030270
0.001145 	 -0.012258 	 0.004895
0.013482 	 -0.004520 	 -0.022594
-0.069262 	 0.008152 	 0.005717
0.045817 	 0.025773 	 -0.031341
-0.022694 	 0.002015 	 -0.034273
0.030016 	 -0.020539 	 0.001209
-0.037723 	 0.016567 	 -0.016858
-0.018752 	 -0.015356 	 -0.035733
0.025864 	 -0.011811 	 0.051926
-0.022482 	 -0.024815 	 -0.032144
-0.008891 	 0.029102 	 -0.035387
-0.016551 	 -0.046359 	 0.017811
-0.049607 	 0.016530 	 0.074615
-0.021719 	 -0.021245 	 -0.004656
0.032531 	 0.041794 	 0.019499
0.051964 	 0.068225 	 -0.005666
-0.011986 	 -0.085912 	 0.040124
-0.005487 	 0.051966 	 -0.008819
