1.47323 1.37515 8.18000
1.47323 1.37515 8.18000
1.58523 1.42715 8.31600
1.36123 1.32315 8.04400
1.47323 1.37515 8.18000
1.00923 1.15915 7.31600
1.40923 1.34515 7.95200
1.36123 1.32315 8.04400
1.47323 1.37515 8.18000
1.42523 1.35315 8.27200
1.36123 1.32315 8.04400
1.24923 1.27115 7.90800
1.53723 1.40515 8.40800
1.87323 1.56115 8.81600
1.69723 1.47915 8.45200
1.23323 1.26315 7.58800
1.45723 1.36715 7.86000
1.40923 1.34515 7.95200
1.07323 1.18915 7.54400
1.29723 1.29315 7.81599
1.13723 1.21915 7.77200
1.23323 1.26315 7.58800
1.92123 1.58315 8.72400
0.94523 1.12915 7.08800
0.91323 1.11515 7.50000
1.24923 1.27115 7.90800
1.12123 1.21115 7.45200
1.36123 1.32315 8.04400
1.47323 1.37515 8.18000
1.24923 1.27115 7.90800
1.24923 1.27115 7.90800
1.23323 1.26315 7.58800
1.42523 1.35315 8.27200
1.47323 1.37515 8.18000
1.42523 1.35315 8.27200
1.69723 1.47915 8.45200
1.58523 1.42715 8.31600
1.42523 1.35315 8.27200
1.58523 1.42715 8.31600
1.36123 1.32315 8.04400
1.52123 1.39715 8.08800
1.52123 1.39715 8.08800
1.58523 1.42715 8.31600
0.99323 1.15115 6.99600
0.78523 1.05515 7.04400
1.40923 1.34515 7.95200
1.24923 1.27115 7.90800
1.47323 1.37515 8.18000
1.36123 1.32315 8.04400
1.47323 1.37515 8.18000
-2.99077 -0.70085 0.95599
-2.83077 -0.62685 1.00001
-3.27877 -0.83485 0.45600
-2.14277 -0.30685 2.13599
-2.94277 -0.67885 0.86401
-2.70277 -0.56685 1.45602
-3.11877 -0.76085 0.50000
-1.16677 0.14715 3.77200
-2.81477 -0.61885 1.32000
-2.09477 -0.28485 2.04401
-1.39077 0.04315 3.49998
-2.49477 -0.47085 1.40800
-1.95077 -0.21685 2.82000
-2.99077 -0.70085 0.95599
-1.69477 -0.09885 2.68000
-2.65477 -0.54485 1.36400
-2.83077 -0.62685 1.00001
-2.06277 -0.26885 2.68399
-2.83077 -0.62685 1.00001
-1.90277 -0.19485 2.72799
-3.35877 -0.87285 -0.09201
-2.14277 -0.30685 2.13599
-3.27877 -0.83485 0.45600
-2.86277 -0.64085 1.41199
-2.47877 -0.46285 1.72802
-2.65477 -0.54485 1.36400
-3.10277 -0.75285 0.82001
-3.51877 -0.94685 -0.13598
-2.83077 -0.62685 1.00001
-1.39077 0.04315 3.49998
-1.79077 -0.14285 2.86399
-1.61477 -0.06085 3.22798
-1.96677 -0.22485 2.49999
-3.56677 -0.96885 -0.04401
-2.83077 -0.62685 1.00001
-2.89477 -0.65685 0.77201
-3.05477 -0.73085 0.72798
-2.59077 -0.51485 1.59199
-2.25477 -0.35885 1.99998
-2.14277 -0.30685 2.13599
-2.52677 -0.48485 1.81999
-2.87877 -0.64885 1.09202
-2.07877 -0.27685 2.36398
-1.16677 0.14715 3.77200
-2.36677 -0.41085 1.86401
-2.30277 -0.38085 2.09200
-2.36677 -0.41085 1.86401
-2.47877 -0.46285 1.72802
-0.89477 0.27315 3.95200
-2.25477 -0.35885 1.99998
-5.15077 -1.70685 -3.32003
-3.75877 -1.05885 -0.72797
-4.78277 -1.53485 -2.27200
-4.25477 -1.28885 -1.18001
-4.73477 -1.51285 -2.36400
-5.56677 -1.89885 -3.22403
-2.95877 -0.68685 0.54401
-5.03877 -1.65285 -2.13199
-4.47877 -1.39285 -1.45200
-5.26277 -1.75885 -3.45600
-3.82277 -1.08885 -0.95599
-3.98277 -1.16285 -0.99998
-4.33477 -1.32685 -1.72801
-3.71077 -1.03685 -0.81998
-4.07877 -1.20885 -1.86799
-4.23877 -1.28285 -1.91200
-4.14277 -1.23685 -1.04401
-5.74277 -1.98085 -3.58800
-6.03077 -2.11485 -4.08797
-3.39077 -0.88685 0.31999
-4.68677 -1.49085 -2.45601
-3.59877 -0.98485 -0.68400
-5.61477 -1.92085 -3.13201
-3.47077 -0.92485 -0.22802
-4.55877 -1.43085 -2.00000
-4.70277 -1.49685 -1.72398
-3.35877 -0.87285 -0.09201
-3.47077 -0.92485 -0.22802
-4.44677 -1.37885 -1.86401
-4.35077 -1.33285 -0.99598
-4.87877 -1.57885 -2.08801
-5.27877 -1.76485 -2.72398
-4.51077 -1.40885 -2.09203
-3.50277 -0.93885 0.18401
-3.99877 -1.16885 -0.26799
-5.13477 -1.69885 -3.00000
-4.63877 -1.46885 -2.54801
-4.14277 -1.23685 -1.04401
-3.35877 -0.87285 -0.09201
-4.22277 -1.27485 -1.59200
-4.63877 -1.46885 -2.54801
-4.01477 -1.17885 -1.64000
-3.75877 -1.05885 -0.72797
-4.91077 -1.59485 -2.72802
-4.81477 -1.55085 -2.91200
-4.12677 -1.23085 -1.77598
-3.64677 -1.00685 -0.59199
-3.93477 -1.14085 -1.09201
-4.35077 -1.33485 -2.04801
-3.69477 -1.02885 -0.49998
