0.000000	0.000000	0.000000	1.000000	
0.314106	-0.374696	0.702389	0.517290	
0.323967	-0.382729	0.716068	0.485603	
0.331388	-0.385107	0.725889	0.463638	
0.333966	-0.385734	0.729086	0.456190	
0.335532	-0.388088	0.730663	0.450485	
0.338466	-0.386473	0.731534	0.448261	
0.337482	-0.386987	0.729705	0.451527	
0.340189	-0.386442	0.733150	0.444326	
0.342349	-0.386777	0.734681	0.439823	
0.343017	-0.387348	0.734498	0.439105	
0.345359	-0.386969	0.735698	0.435582	
0.345624	-0.386936	0.736055	0.434797	
0.346338	-0.387643	0.737427	0.431259	
0.348206	-0.386966	0.737361	0.430474	
0.348559	-0.387482	0.737291	0.429844	
0.350492	-0.386550	0.738451	0.427112	
0.351196	-0.386327	0.738398	0.426826	
0.351770	-0.385810	0.739049	0.425694	
0.354189	-0.384642	0.740687	0.421880	
0.354507	-0.384150	0.741159	0.421233	
0.356128	-0.383691	0.742450	0.417998	
0.356036	-0.383498	0.742231	0.418641	
0.355893	-0.382879	0.743158	0.417685	
0.356429	-0.382816	0.743359	0.416926	
0.356830	-0.382894	0.743974	0.415412	
0.357840	-0.382668	0.744080	0.414561	
0.358726	-0.382442	0.745212	0.411962	
0.359459	-0.382218	0.745176	0.411597	
0.360733	-0.381758	0.746043	0.409332	
0.360913	-0.382190	0.746143	0.408587	
0.360630	-0.382144	0.745809	0.409489	
0.361419	-0.381830	0.745986	0.408764	
0.361370	-0.381900	0.745458	0.409703	
0.361630	-0.381664	0.745558	0.409512	
0.361284	-0.381424	0.745701	0.409780	
0.360966	-0.382168	0.745595	0.409560	
0.360301	-0.382685	0.745713	0.409448	
0.360784	-0.382365	0.746509	0.407867	
0.359835	-0.382725	0.746415	0.408540	
0.359885	-0.382432	0.746053	0.409431	
0.359991	-0.382656	0.746254	0.408761	
0.360170	-0.382360	0.746562	0.408318	
0.360850	-0.382352	0.747198	0.406558	
0.361666	-0.382107	0.747275	0.405921	
0.361142	-0.382776	0.747053	0.406166	
0.361366	-0.382707	0.747128	0.405895	
0.361975	-0.382776	0.747300	0.404968	
0.362668	-0.382580	0.747447	0.404263	
0.362414	-0.383044	0.747631	0.403709	
0.362916	-0.383391	0.747187	0.403750	
0.363758	-0.382937	0.747848	0.402198	
0.364463	-0.382313	0.748131	0.401626	
0.365297	-0.382231	0.748262	0.400702	
0.365234	-0.382216	0.748452	0.400418	
0.365442	-0.382283	0.748672	0.399753	
0.365816	-0.381980	0.749199	0.398712	
